"code","year","rate"
"BEN",1974,52.7
"BEN",1975,58.2
"BEN",1976,58.7
"BEN",1977,58
"BEN",1978,58.4
"BEN",1979,56.9
"BEN",1980,53.4
"BEN",1981,46.7
"BEN",1982,47.1
"BEN",1983,54.2
"BEN",1984,49.9
"BEN",1985,46
"BEN",1986,46.4
"BEN",1987,50.7
"BEN",1988,50.5
"BEN",1989,56.1
"BEN",1990,50.7
"BEN",1991,49.9
"BEN",1992,50
"BEN",1993,48.1
"BEN",1994,50.5
"BEN",1995,46.7
"BEN",1996,45.6
"BEN",1997,42.6
"BEN",1998,42.1
"BEN",1999,40.2
"BEN",2000,36.4
"BEN",2001,35.1
"BEN",2002,34.3
"BEN",2003,34.1
"BEN",2004,33.3
"BEN",2005,34.2
"BEN",2006,33.8
"BEN",2007,32
"BEN",2008,31
"BEN",2009,31.2
"BEN",2010,31.8
"BEN",2011,31.9
"BEN",2012,36
"BEN",2013,43.3
"BEN",2014,40.9
"BEN",2015,41.4
"BEN",2016,41.2
"BEN",2017,40
"BEN",2018,38.1
"BEN",2019,35.1
"BEN",2020,33.2
"BEN",2021,29.6
"BEN",2022,27
"BEN",2023,25.5
"BEN",2024,23.3
"BEN",2025,21.9
"BFA",1950,92.3
"BFA",1951,92.2
"BFA",1952,92
"BFA",1953,91.8
"BFA",1954,91.7
"BFA",1955,91.6
"BFA",1956,91.4
"BFA",1957,91.3
"BFA",1958,91
"BFA",1959,90.9
"BFA",1960,90.7
"BFA",1961,90.5
"BFA",1962,90
"BFA",1963,90.4
"BFA",1964,90.2
"BFA",1965,90
"BFA",1966,90
"BFA",1967,89.5
"BFA",1968,89.5
"BFA",1969,89.4
"BFA",1970,89.5
"BFA",1971,89.5
"BFA",1972,89.5
"BFA",1973,89.6
"BFA",1974,89
"BFA",1975,88.9
"BFA",1976,88.2
"BFA",1977,88.4
"BFA",1978,88.2
"BFA",1979,88.2
"BFA",1980,88.3
"BFA",1981,88.2
"BFA",1982,87.9
"BFA",1983,88
"BFA",1984,88.2
"BFA",1985,88
"BFA",1986,87.7
"BFA",1987,87.9
"BFA",1988,87.7
"BFA",1989,87.8
"BFA",1990,87.9
"BFA",1991,87.6
"BFA",1992,87.7
"BFA",1993,87.7
"BFA",1994,87.7
"BFA",1995,87.5
"BFA",1996,86.5
"BFA",1997,86.1
"BFA",1998,85.2
"BFA",1999,80
"BFA",2000,80
"BFA",2001,75
"BFA",2002,71.2
"BFA",2003,63.7
"BFA",2004,63.3
"BFA",2005,61.4
"BFA",2006,60.2
"BFA",2007,59.8
"BFA",2008,58.8
"BFA",2009,58.8
"BFA",2010,57.2
"BFA",2011,55.9
"BFA",2012,54.7
"BFA",2013,53.5
"BFA",2014,53.2
"BFA",2015,52.6
"BFA",2016,51.4
"BFA",2017,49.9
"BFA",2018,48.2
"BFA",2019,46.4
"BFA",2020,45.5
"BFA",2021,42.0616
"BFA",2022,41.7639
"BFA",2023,41.171
"BFA",2024,39.5936
"BFA",2025,34.5858
"BWA",1950,86.1
"BWA",1951,85.9
"BWA",1952,85.8
"BWA",1953,85.7
"BWA",1954,85.5
"BWA",1955,85.3
"BWA",1956,85
"BWA",1957,84.9
"BWA",1958,84.8
"BWA",1959,84.6
"BWA",1960,84.4
"BWA",1961,84.1
"BWA",1962,83.3
"BWA",1963,83
"BWA",1964,82.4
"BWA",1965,81.8
"BWA",1966,80.9
"BWA",1967,80.1
"BWA",1968,78.8
"BWA",1969,76.3
"BWA",1970,74.1
"BWA",1971,70
"BWA",1972,66.4
"BWA",1973,63.6
"BWA",1974,62.8
"BWA",1975,62.1
"BWA",1976,61.1
"BWA",1977,59.7
"BWA",1978,57.6
"BWA",1979,56.5
"BWA",1980,54.5
"BWA",1981,53
"BWA",1982,51.1
"BWA",1983,49
"BWA",1984,47.6
"BWA",1985,46.3
"BWA",1986,45.2
"BWA",1987,43
"BWA",1988,38.8
"BWA",1989,36.5
"BWA",1990,35.7
"BWA",1991,34.9
"BWA",1992,36.9
"BWA",1993,37.7
"BWA",1994,37.8
"BWA",1995,36.5
"BWA",1996,35.1
"BWA",1997,31.6
"BWA",1998,31.6
"BWA",1999,32
"BWA",2000,33.3
"BWA",2001,35.9
"BWA",2002,34.7
"BWA",2003,34.7
"BWA",2004,32.1
"BWA",2005,29.8
"BWA",2006,27.1
"BWA",2007,25.2
"BWA",2008,22.4
"BWA",2009,21.3
"BWA",2010,20.8
"BWA",2011,20.9
"BWA",2012,20.3
"BWA",2013,19.6
"BWA",2014,20.3
"BWA",2015,20.8
"BWA",2016,21.3
"BWA",2017,21.3
"BWA",2018,20.3
"BWA",2019,19.8
"BWA",2020,19.6
"BWA",2021,19.4
"BWA",2022,19.0415
"BWA",2023,18.551
"BWA",2024,19.4511
"BWA",2025,20.1425
"CAF",1950,66.7
"CAF",1951,66.1
"CAF",1952,65.5
"CAF",1953,64.8
"CAF",1954,63.9
"CAF",1955,63.2
"CAF",1956,62.5
"CAF",1957,62.1
"CAF",1958,61.5
"CAF",1959,60.7
"CAF",1960,61.1
"CAF",1961,59.9
"CAF",1962,62
"CAF",1963,62.7
"CAF",1964,62.7
"CAF",1965,63
"CAF",1966,63.5
"CAF",1967,62.7
"CAF",1968,63
"CAF",1969,61.8
"CAF",1970,61.8
"CAF",1971,62
"CAF",1972,62.5
"CAF",1973,62.5
"CAF",1974,61.2
"CAF",1975,61.9
"CAF",1976,60.4
"CAF",1977,59.2
"CAF",1978,59.1
"CAF",1979,60.6
"CAF",1980,62.4
"CAF",1981,63.2
"CAF",1982,61.3
"CAF",1983,64.4
"CAF",1984,62
"CAF",1985,60.9
"CAF",1986,60.1
"CAF",1987,62.3
"CAF",1988,62.3
"CAF",1989,62.4
"CAF",1990,64.2
"CAF",1991,65.4
"CAF",1992,68.4
"CAF",1993,69.3
"CAF",1994,68.9
"CAF",1995,67.4
"CAF",1996,69.6
"CAF",1997,68.8
"CAF",1998,68.3
"CAF",1999,68.1
"CAF",2000,69.7
"CAF",2001,69
"CAF",2002,68.5
"CAF",2003,70.9
"CAF",2004,69.9
"CAF",2005,70.3
"CAF",2006,69.4
"CAF",2007,68.6
"CAF",2008,68.6
"CAF",2009,65.6
"CAF",2010,63.9
"CAF",2011,63.1
"CAF",2012,62
"CAF",2013,75.2
"CAF",2014,75.1
"CAF",2015,73.9
"CAF",2016,73.1
"CAF",2017,72.3
"CAF",2018,71.7
"CAF",2019,71.1
"CAF",2020,71.2
"CAF",2021,71.6174
"CAF",2022,68.87
"CAF",2023,68.5085
"CAF",2024,67.7567
"CAF",2025,67.0595
"CIV",1950,14.7
"CIV",1951,14.4
"CIV",1952,14.1
"CIV",1953,14
"CIV",1954,13.8
"CIV",1955,13.5
"CIV",1956,12.7
"CIV",1957,12.1
"CIV",1958,11.5
"CIV",1959,11.4
"CIV",1960,10.9
"CIV",1961,9.3
"CIV",1962,10.3
"CIV",1963,8.1
"CIV",1964,6.8
"CIV",1965,7.3
"CIV",1966,6.8
"CIV",1967,6.7
"CIV",1968,6
"CIV",1969,5.6
"CIV",1970,4.6
"CIV",1971,3.8
"CIV",1972,3.8
"CIV",1973,3.8
"CIV",1974,3.8
"CIV",1975,3.7
"CIV",1976,3
"CIV",1977,2.9
"CIV",1978,2.7
"CIV",1979,2.8
"CIV",1980,3.5
"CIV",1981,3.5
"CIV",1982,3.8
"CIV",1983,5.2
"CIV",1984,5.7
"CIV",1985,5.7
"CIV",1986,2.4
"CIV",1987,5.3
"CIV",1988,9.1
"CIV",1989,9.6
"CIV",1990,10.4
"CIV",1991,11.4
"CIV",1992,12.4
"CIV",1993,12.7
"CIV",1994,11.6
"CIV",1995,7.5
"CIV",1996,10.5
"CIV",1997,12.4
"CIV",1998,15.9
"CIV",1999,16.7
"CIV",2000,17.5
"CIV",2001,18.5
"CIV",2002,20.4
"CIV",2003,23.9
"CIV",2004,24.3
"CIV",2005,26.1
"CIV",2006,26.4
"CIV",2007,27.7
"CIV",2008,27.5
"CIV",2009,27.8
"CIV",2010,27.4
"CIV",2011,31.5
"CIV",2012,30.7
"CIV",2013,28.3
"CIV",2014,26.8
"CIV",2015,26.3
"CIV",2016,24.8
"CIV",2017,23.3
"CIV",2018,22.5
"CIV",2019,21.2
"CIV",2020,22.5
"CIV",2021,20.8261
"CIV",2022,20.0052
"CIV",2023,19.9319
"CIV",2024,19.4318
"CIV",2025,16.0974
"CMR",1950,50.4
"CMR",1951,49.9
"CMR",1952,49.1
"CMR",1953,48.2
"CMR",1954,46.7
"CMR",1955,45.1
"CMR",1956,44.2
"CMR",1957,43.1
"CMR",1958,41.8
"CMR",1959,40.6
"CMR",1960,40.1
"CMR",1961,40.3
"CMR",1962,39.5
"CMR",1963,38.9
"CMR",1964,38.5
"CMR",1965,38.6
"CMR",1966,37.9
"CMR",1967,44.3
"CMR",1968,42.6
"CMR",1969,41.4
"CMR",1970,41
"CMR",1971,40.4
"CMR",1972,40.4
"CMR",1973,39.3
"CMR",1974,37
"CMR",1975,32.9
"CMR",1976,37
"CMR",1977,32.4
"CMR",1978,24.3
"CMR",1979,23
"CMR",1980,24.9
"CMR",1981,19.8
"CMR",1982,18.5
"CMR",1983,16.5
"CMR",1984,14.7
"CMR",1985,13.1
"CMR",1986,12.2
"CMR",1987,13.9
"CMR",1988,17.6
"CMR",1989,19.6
"CMR",1990,23.4
"CMR",1991,25.7
"CMR",1992,28.5
"CMR",1993,33.9
"CMR",1994,34.4
"CMR",1995,34.3
"CMR",1996,33.6
"CMR",1997,32.6
"CMR",1998,32.2
"CMR",1999,31.3
"CMR",2000,30.5
"CMR",2001,29.3
"CMR",2002,30.9
"CMR",2003,31.8
"CMR",2004,31.8
"CMR",2005,33.8
"CMR",2006,35
"CMR",2007,36.2
"CMR",2008,35.1
"CMR",2009,34.2
"CMR",2010,33
"CMR",2011,37.7
"CMR",2012,35
"CMR",2013,31.8
"CMR",2014,28.1
"CMR",2015,27.4
"CMR",2016,27
"CMR",2017,26.8
"CMR",2018,26.4
"CMR",2019,26.1
"CMR",2020,27
"CMR",2021,26.6918
"CMR",2022,26.2281
"CMR",2023,27.302
"CMR",2024,28.1689
"CMR",2025,28.1743
"COD",1950,86.7
"COD",1951,85
"COD",1952,83.7
"COD",1953,83
"COD",1954,82.2
"COD",1955,81.8
"COD",1956,81
"COD",1957,80.7
"COD",1958,81.7
"COD",1959,81.6
"COD",1960,81.6
"COD",1961,84.3
"COD",1962,80.8
"COD",1963,80
"COD",1964,81.4
"COD",1965,81.7
"COD",1966,81
"COD",1967,81.7
"COD",1968,81.6
"COD",1969,79.9
"COD",1970,80.9
"COD",1971,79.8
"COD",1972,80.7
"COD",1973,79.1
"COD",1974,79
"COD",1975,81.2
"COD",1976,82.7
"COD",1977,83.1
"COD",1978,84.7
"COD",1979,85.3
"COD",1980,85.4
"COD",1981,85.6
"COD",1982,86.3
"COD",1983,86.6
"COD",1984,86.2
"COD",1985,86.7
"COD",1986,86.5
"COD",1987,86.6
"COD",1988,87
"COD",1989,87.9
"COD",1990,89.3
"COD",1991,90.6
"COD",1992,92.2
"COD",1993,93.7
"COD",1994,94.3
"COD",1995,94.5
"COD",1996,94.7
"COD",1997,95.3
"COD",1998,95.6
"COD",1999,96.1
"COD",2000,96.5
"COD",2001,96.7
"COD",2002,96.7
"COD",2003,96.6
"COD",2004,96.5
"COD",2005,96.3
"COD",2006,95.9
"COD",2007,94.2
"COD",2008,92.8
"COD",2009,93.7
"COD",2010,92.1
"COD",2011,90
"COD",2012,87.7
"COD",2013,85.5
"COD",2014,85
"COD",2015,84.3
"COD",2016,85
"COD",2017,84.9
"COD",2018,84.3
"COD",2019,84.9
"COD",2020,85.3177
"COD",2021,84.8
"COD",2022,83.4366
"COD",2023,82.3723
"COD",2024,81.6871
"COD",2025,81.1292
"COG",1950,76.8
"COG",1951,76.1
"COG",1952,75.6
"COG",1953,75.2
"COG",1954,74.8
"COG",1955,74.5
"COG",1956,74.2
"COG",1957,73.9
"COG",1958,73.4
"COG",1959,73
"COG",1960,72.6
"COG",1961,71.3
"COG",1962,70.5
"COG",1963,72.4
"COG",1964,72.1
"COG",1965,71.8
"COG",1966,72.3
"COG",1967,72.5
"COG",1968,71.3
"COG",1969,69.9
"COG",1970,69
"COG",1971,67.7
"COG",1972,66
"COG",1973,64.8
"COG",1974,63.6
"COG",1975,62.5
"COG",1976,62.8
"COG",1977,65.8
"COG",1978,64.8
"COG",1979,63
"COG",1980,58.6
"COG",1981,53.4
"COG",1982,46.8
"COG",1983,45.8
"COG",1984,44.5
"COG",1985,45.8
"COG",1986,49.1
"COG",1987,50.1
"COG",1988,50.4
"COG",1989,50.5
"COG",1990,51.3
"COG",1991,51.3
"COG",1992,51.3
"COG",1993,52.9
"COG",1994,56.1
"COG",1995,55.5
"COG",1996,55
"COG",1997,56.2
"COG",1998,55.5
"COG",1999,57.3
"COG",2000,56.2
"COG",2001,56.3
"COG",2002,55.4
"COG",2003,56.2
"COG",2004,56.2
"COG",2005,54.5
"COG",2006,49.2
"COG",2007,53
"COG",2008,50.3
"COG",2009,49.3
"COG",2010,42.8
"COG",2011,43.7
"COG",2012,38.8
"COG",2013,39.5
"COG",2014,38.4
"COG",2015,39
"COG",2016,42.2
"COG",2017,44.6
"COG",2018,46.4
"COG",2019,46.8
"COG",2020,50.2
"COG",2021,50.7
"COG",2022,50.8755
"COG",2023,51.2012
"COG",2024,51.6918
"COG",2025,51.7377
"COM",1950,44.4
"COM",1951,42.4
"COM",1952,41.9
"COM",1953,40.7
"COM",1954,38.7
"COM",1955,38.1
"COM",1956,37.1
"COM",1957,36.5
"COM",1958,36.3
"COM",1959,34.7
"COM",1960,31.7
"COM",1961,32.1
"COM",1962,29.5
"COM",1963,21.9
"COM",1964,19.6
"COM",1965,20.6
"COM",1966,17.5
"COM",1967,17
"COM",1968,17.8
"COM",1969,18.3
"COM",1970,16.6
"COM",1971,16.1
"COM",1972,16.3
"COM",1973,14.8
"COM",1974,14.9
"COM",1975,13.9
"COM",1976,14.7
"COM",1977,16.3
"COM",1978,16.5
"COM",1979,14.2
"COM",1980,13
"COM",1981,12.2
"COM",1982,11.9
"COM",1983,11.8
"COM",1984,11.4
"COM",1985,11.4
"COM",1986,11.6
"COM",1987,11.9
"COM",1988,11.1
"COM",1989,12.2
"COM",1990,10.9
"COM",1991,13.6
"COM",1992,12
"COM",1993,11.8
"COM",1994,13.6
"COM",1995,12.3
"COM",1996,13
"COM",1997,12.2
"COM",1998,12.8
"COM",1999,12.4
"COM",2000,13.5
"COM",2001,12.3
"COM",2002,11.8
"COM",2003,11.8
"COM",2004,11.4
"COM",2005,10.2
"COM",2006,11.4
"COM",2007,11.9
"COM",2008,11.2
"COM",2009,10.9
"COM",2010,10.2
"COM",2011,9.8
"COM",2012,9.6
"COM",2013,9.1
"COM",2014,9.1
"COM",2015,9.3
"COM",2016,9.1
"COM",2017,8.8
"COM",2018,8.5
"COM",2019,8.5
"COM",2020,8.9331
"COM",2021,8
"COM",2022,6.9
"COM",2023,5.9
"COM",2024,5.0668
"COM",2025,4.6486
"CPV",1950,82.9
"CPV",1951,82.7
"CPV",1952,82.4
"CPV",1953,82.2
"CPV",1954,82.5
"CPV",1955,82.3
"CPV",1956,82.1
"CPV",1957,82.8
"CPV",1958,82.9
"CPV",1959,81.3
"CPV",1960,80.2
"CPV",1961,79.2
"CPV",1962,78.5
"CPV",1963,77.9
"CPV",1964,77.4
"CPV",1965,76.8
"CPV",1966,76.4
"CPV",1967,76.1
"CPV",1968,75.5
"CPV",1969,75
"CPV",1970,74.6
"CPV",1971,73.5
"CPV",1972,73.3
"CPV",1973,73.2
"CPV",1974,72.6
"CPV",1975,77.8
"CPV",1976,77.5
"CPV",1977,78.9
"CPV",1978,76.8
"CPV",1979,76.4
"CPV",1980,75
"CPV",1981,73.3
"CPV",1982,73
"CPV",1983,70.8
"CPV",1984,70.3
"CPV",1985,68.1
"CPV",1986,67.7
"CPV",1987,66.8
"CPV",1988,65.2
"CPV",1989,63.5
"CPV",1990,64
"CPV",1991,64.5
"CPV",1992,61.4
"CPV",1993,59.1
"CPV",1994,53.6
"CPV",1995,49.6
"CPV",1996,46.1
"CPV",1997,42.5
"CPV",1998,38.5
"CPV",1999,35.4
"CPV",2000,31.3
"CPV",2001,31
"CPV",2002,29.7
"CPV",2003,28.7
"CPV",2004,26.3
"CPV",2005,24.1
"CPV",2006,21.6
"CPV",2007,17.8
"CPV",2008,15.9
"CPV",2009,16.5
"CPV",2010,16.2
"CPV",2011,15.4
"CPV",2012,15
"CPV",2013,14.9
"CPV",2014,14.7
"CPV",2015,14.6
"CPV",2016,13.8
"CPV",2017,13
"CPV",2018,12.1
"CPV",2019,11.1
"CPV",2020,15.6
"CPV",2021,14.2
"CPV",2022,10.7776
"CPV",2023,11.3006
"CPV",2024,10.3283
"CPV",2025,9.5497
"ETH",1950,79.4
"ETH",1951,79.1
"ETH",1952,78.8
"ETH",1953,77.9
"ETH",1954,78.3
"ETH",1955,77.3
"ETH",1956,76.8
"ETH",1957,77.8
"ETH",1958,77.3
"ETH",1959,76.9
"ETH",1960,76.1
"ETH",1961,75.4
"ETH",1962,74.9
"ETH",1963,74.5
"ETH",1964,74
"ETH",1965,73
"ETH",1966,71.7
"ETH",1967,71.1
"ETH",1968,70.7
"ETH",1969,71.1
"ETH",1970,70.9
"ETH",1971,69.7
"ETH",1972,69.1
"ETH",1973,68.1
"ETH",1974,67.8
"ETH",1975,68.4
"ETH",1976,69.5
"ETH",1977,69
"ETH",1978,69.4
"ETH",1979,68.8
"ETH",1980,67
"ETH",1981,67.3
"ETH",1982,66.8
"ETH",1983,66.8
"ETH",1984,70.7
"ETH",1985,72.3
"ETH",1986,69.6
"ETH",1987,68.3
"ETH",1988,69.8
"ETH",1989,70.7
"ETH",1990,72.6
"ETH",1991,76.1
"ETH",1992,76.9
"ETH",1993,75.7
"ETH",1994,75.5
"ETH",1995,73.9
"ETH",1996,71.7
"ETH",1997,71.5
"ETH",1998,71
"ETH",1999,68.2
"ETH",2000,62.6
"ETH",2001,59.6
"ETH",2002,65
"ETH",2003,61.2
"ETH",2004,46.4
"ETH",2005,41
"ETH",2006,40.4
"ETH",2007,39.7
"ETH",2008,39.2
"ETH",2009,38.3
"ETH",2010,37.7
"ETH",2011,37.1
"ETH",2012,36.2
"ETH",2013,35.1
"ETH",2014,34.2
"ETH",2015,33.4
"ETH",2016,32.8
"ETH",2017,33
"ETH",2018,33.6
"ETH",2019,34.5
"ETH",2020,36.4
"ETH",2021,38.6361
"ETH",2022,42.4
"ETH",2023,42.9
"ETH",2024,43.3
"ETH",2025,41.8
"GAB",1950,45.1
"GAB",1951,44.3
"GAB",1952,43.1
"GAB",1953,41.8
"GAB",1954,40.6
"GAB",1955,39.6
"GAB",1956,38.5
"GAB",1957,37.2
"GAB",1958,36.4
"GAB",1959,35.2
"GAB",1960,34.3
"GAB",1961,29.8
"GAB",1962,27.9
"GAB",1963,26.6
"GAB",1964,25.2
"GAB",1965,23.3
"GAB",1966,22.6
"GAB",1967,21.7
"GAB",1968,21.5
"GAB",1969,19.3
"GAB",1970,17.3
"GAB",1971,15.4
"GAB",1972,13.6
"GAB",1973,12.3
"GAB",1974,7.2
"GAB",1975,5.8
"GAB",1976,3.6
"GAB",1977,4.5
"GAB",1978,2.7
"GAB",1979,3.4
"GAB",1980,3.5
"GAB",1981,3.1
"GAB",1982,3.8
"GAB",1983,2.9
"GAB",1984,3.4
"GAB",1985,3.9
"GAB",1986,3
"GAB",1987,3.9
"GAB",1988,5.3
"GAB",1989,3.2
"GAB",1990,3.5
"GAB",1991,3.7
"GAB",1992,4
"GAB",1993,4.2
"GAB",1994,5.6
"GAB",1995,5.6
"GAB",1996,6.6
"GAB",1997,6.9
"GAB",1998,5.5
"GAB",1999,5.3
"GAB",2000,5
"GAB",2001,5.4
"GAB",2002,5.4
"GAB",2003,5.6
"GAB",2004,5.6
"GAB",2005,5.4
"GAB",2006,5.2
"GAB",2007,5.2
"GAB",2008,5.2
"GAB",2009,4.9
"GAB",2010,4.4
"GAB",2011,4.2
"GAB",2012,4.1
"GAB",2013,3.8
"GAB",2014,3.7
"GAB",2015,3.6
"GAB",2016,3.6
"GAB",2017,3.8
"GAB",2018,4
"GAB",2019,4.1
"GAB",2020,4.3
"GAB",2021,4.8
"GAB",2022,5
"GAB",2023,5
"GAB",2024,4.9
"GAB",2025,4.9
"GHA",1950,80.7
"GHA",1951,80.3
"GHA",1952,81.8
"GHA",1953,78.9
"GHA",1954,76.1
"GHA",1955,78.9
"GHA",1956,78.2
"GHA",1957,78.1
"GHA",1958,79.1
"GHA",1959,75.9
"GHA",1960,74.5
"GHA",1961,74.2
"GHA",1962,73.5
"GHA",1963,72.7
"GHA",1964,72.8
"GHA",1965,73.2
"GHA",1966,75.7
"GHA",1967,75.6
"GHA",1968,76.2
"GHA",1969,75.2
"GHA",1970,72.3
"GHA",1971,71.6
"GHA",1972,73.6
"GHA",1973,73.6
"GHA",1974,72.1
"GHA",1975,78
"GHA",1976,79.5
"GHA",1977,79.6
"GHA",1978,78.5
"GHA",1979,79.6
"GHA",1980,80.3
"GHA",1981,82.3
"GHA",1982,85
"GHA",1983,86.4
"GHA",1984,85.3
"GHA",1985,84.8
"GHA",1986,84.2
"GHA",1987,83.4
"GHA",1988,82.5
"GHA",1989,81.8
"GHA",1990,81.7
"GHA",1991,80.8
"GHA",1992,80
"GHA",1993,77.3
"GHA",1994,75.9
"GHA",1995,73.4
"GHA",1996,70.4
"GHA",1997,68
"GHA",1998,65.7
"GHA",1999,65.1
"GHA",2000,64.9
"GHA",2001,64.7
"GHA",2002,64.2
"GHA",2003,63.5
"GHA",2004,62.6
"GHA",2005,61.7
"GHA",2006,60
"GHA",2007,59.2
"GHA",2008,56.1
"GHA",2009,54.9
"GHA",2010,52
"GHA",2011,46.6
"GHA",2012,43.7
"GHA",2013,41.4
"GHA",2014,40.9
"GHA",2015,40.9
"GHA",2016,40.4
"GHA",2017,38.5
"GHA",2018,37.5
"GHA",2019,35.9
"GHA",2020,36.5
"GHA",2021,35.5
"GHA",2022,34.8
"GHA",2023,34.5
"GHA",2024,33.2
"GHA",2025,32.7
"GIN",1950,75.1
"GIN",1951,73.9
"GIN",1952,73.6
"GIN",1953,72.6
"GIN",1954,71.2
"GIN",1955,70.6
"GIN",1956,69.9
"GIN",1957,68.5
"GIN",1958,68.2
"GIN",1959,67
"GIN",1960,65.9
"GIN",1961,64.3
"GIN",1962,62.5
"GIN",1963,64.8
"GIN",1964,63.5
"GIN",1965,61.9
"GIN",1966,61.8
"GIN",1967,61.4
"GIN",1968,61.1
"GIN",1969,60.8
"GIN",1970,60.3
"GIN",1971,58.7
"GIN",1972,58.6
"GIN",1973,58.6
"GIN",1974,57.3
"GIN",1975,56.9
"GIN",1976,54.3
"GIN",1977,56.4
"GIN",1978,54.3
"GIN",1979,55.7
"GIN",1980,55.4
"GIN",1981,55.8
"GIN",1982,55.8
"GIN",1983,56.3
"GIN",1984,56.5
"GIN",1985,55.7
"GIN",1986,55.4
"GIN",1987,55.1
"GIN",1988,53.5
"GIN",1989,52.6
"GIN",1990,52
"GIN",1991,53.3
"GIN",1992,53.3
"GIN",1993,51.8
"GIN",1994,51.3
"GIN",1995,50.6
"GIN",1996,49.8
"GIN",1997,48.4
"GIN",1998,47.3
"GIN",1999,46.6
"GIN",2000,46.3
"GIN",2001,44.8
"GIN",2002,43.6
"GIN",2003,44
"GIN",2004,43.9
"GIN",2005,43.5
"GIN",2006,43.9
"GIN",2007,41.9
"GIN",2008,35.9
